dataset,seed,num_points,dimensions,algorithm,eta,covering_number,runtime_seconds
MNIST_Subset,42,5000,784,Farthest-First,1.8863415636063714,4938,0.07260813500033692
MNIST_Subset,42,5000,784,Greedy,1.8863415636063714,4927,0.0871857349993661
MNIST_Subset,42,5000,784,Uncovered-First,1.6865777151222416,4973,0.040439784999762196
MNIST_Subset,42,5000,784,Farthest-First,1.6865777151222416,4971,0.07063266600016505
MNIST_Subset,42,5000,784,Greedy,1.6865777151222416,4968,0.0874574230001599
MNIST_Subset,42,5000,784,Uncovered-First,1.507968887516143,4989,0.04061752699999488
MNIST_Subset,42,5000,784,Farthest-First,1.507968887516143,4989,0.07135286599987012
MNIST_Subset,42,5000,784,Greedy,1.507968887516143,4988,0.08984405800038076
MNIST_Subset,42,5000,784,Uncovered-First,1.3482747609717223,4993,0.04337769700032368
MNIST_Subset,42,5000,784,Farthest-First,1.3482747609717223,4993,0.07151645100020687
MNIST_Subset,42,5000,784,Greedy,1.3482747609717223,4993,0.08698729500065383
MNIST_Subset,42,5000,784,Uncovered-First,1.2054922658700373,5000,0.039808031999200466
MNIST_Subset,42,5000,784,Farthest-First,1.2054922658700373,5000,0.07264619099987613
MNIST_Subset,42,5000,784,Greedy,1.2054922658700373,5000,0.08496807099982107
MNIST_Subset,42,5000,784,Uncovered-First,1.077830457958825,5000,0.03995598800065636
MNIST_Subset,42,5000,784,Farthest-First,1.077830457958825,5000,0.07370307699966361
MNIST_Subset,42,5000,784,Greedy,1.077830457958825,5000,0.08591863100082264
MNIST_Subset,42,5000,784,Uncovered-First,0.9636880542450316,5000,0.04077261299971724
MNIST_Subset,42,5000,784,Farthest-First,0.9636880542450316,5000,0.0700920839990431
MNIST_Subset,42,5000,784,Greedy,0.9636880542450316,5000,0.08859022199976607
MNIST_Subset,42,5000,784,Uncovered-First,0.8616333478396216,5000,0.041247793998991256
MNIST_Subset,42,5000,784,Farthest-First,0.8616333478396216,5000,0.0712018079993868
MNIST_Subset,42,5000,784,Greedy,0.8616333478396216,5000,0.08736974700150313
MNIST_Subset,42,5000,784,Uncovered-First,0.7703862498232704,5000,0.04024433999984467
MNIST_Subset,42,5000,784,Farthest-First,0.7703862498232704,5000,0.0694853940003668
MNIST_Subset,42,5000,784,Greedy,0.7703862498232704,5000,0.08807054700082517
MNIST_Subset,42,5000,784,Uncovered-First,0.6888022328811158,5000,0.04076588000134507
MNIST_Subset,42,5000,784,Farthest-First,0.6888022328811158,5000,0.07022420799876272
MNIST_Subset,42,5000,784,Greedy,0.6888022328811158,5000,0.08925826600170694
MNIST_Subset,42,5000,784,Uncovered-First,0.6158579753089456,5000,0.03958831099953386
MNIST_Subset,42,5000,784,Farthest-First,0.6158579753089456,5000,0.0764962529992772
MNIST_Subset,42,5000,784,Greedy,0.6158579753089456,5000,0.08839182199881179
MNIST_Subset,69,5000,784,Uncovered-First,15.908928141689962,1,0.004262096999809728
MNIST_Subset,69,5000,784,Farthest-First,15.908928141689962,1,0.0007616300008521648
MNIST_Subset,69,5000,784,Greedy,15.908928141689962,1,0.05902321499888785
MNIST_Subset,69,5000,784,Uncovered-First,15.379679438550378,1,0.002974875000290922
MNIST_Subset,69,5000,784,Farthest-First,15.379679438550378,1,0.00035024400131078437
MNIST_Subset,69,5000,784,Greedy,15.379679438550378,1,0.05845306199989864
MNIST_Subset,69,5000,784,Uncovered-First,14.850430735410795,1,0.0034684080001170514
MNIST_Subset,69,5000,784,Farthest-First,14.850430735410795,1,0.0004180840005574282
